"participant","prompt","stimulus","stimulus_voice","word_pair","vowel_1","vowel_2","vs","vowel_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","slider_response"
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad tap</p>","badtap-p05-ic","p05","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,0.426
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p07-ii","p07","bigdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,1,0.665
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>cab back</p>","cabback-p04-ci","p04","cabback","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,0.665
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big bag</p>","bigbag-p07-cc","p07","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,1,0.453
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>pick dad</p>","pickdad-p08-ci","p08","pickdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,0.329
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad dad</p>","baddad-p07-ci","p07","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,0.441
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>big dad</p>","bigdad-p06-cc","p06","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,1,0.629
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad kid</p>","badkid-p01-ic","p01","badkid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,1,0.6
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>tag back</p>","tagback-p06-ic","p06","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,0.453
"exp1048","<p class='top-prompt'>How educated does this speaker sound?</p><p class='bottom-prompt'>bad tap</p>","badtap-p08-cc","p08","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,0.365
